Province,Year,AgeGroup_0_14,AgeGroup_15_29,AgeGroup_30_44,AgeGroup_45_59,AgeGroup_60_74,AgeGroup_75_plus,Age not stated,Female_Value,Male_Value,Business_Immigration,Protected_Person_in_Canada,Provincial_Nominee_Program,Resettled_Refugee,Sponsored_Family_Immigration,Temp_Resident_to_Permanent_Resident,Worker_Program,Administrative and Support Services,"Art, Culture, and Media Professionals",Business and Financial Managers,Child and Home Care Services,Cleaning and Maintenance,Construction and Equipment Operations,Construction and Facility Management,Customer Service and Support Occupations,Customer Services and Personal Services Management,Education and Teaching Professionals,Financial and Business Professionals,Food Service and Hospitality,Health and Social Services Managers,Healthcare and Medical Professionals,Information and Communication Managers,"Legal, Social, and Community Service Professionals",Manufacturing Management,Manufacturing and Production,Other Occupations,Paralegals and Social Service Workers,Policy Researchers and Analysts,Protective Service Occupations,Restaurant and Accommodation Management,Retail and Cashiers,Sales and Marketing Professionals,Sales and Retail Management,Sales and Services Supervisors,Scientists and Engineers,Senior Management,Technologists and Technicians,Transportation and Natural Resources Management,Vacancy Rate,Average HPI,Inflation Rate,Mortgage Rate,Population
Manitoba ,2022,5295,6915,7150,1450,725,135,0,10590,11080,45,255,13940,1800,2780,1640,1025,1405,45,385,65,440,285,35,485,5,115,270,1020,20,240,0,60,30,1080,0,160,90,0,85,220,120,150,295,175,5,160,20,2.7,125.1,6.8,4.9,3227768
Manitoba ,2023,4325,9140,6780,1525,825,165,0,11030,11730,120,205,14165,2395,3165,1680,785,1340,50,225,75,665,355,25,895,10,105,255,1090,5,170,0,35,25,1665,0,210,55,0,55,490,255,145,290,185,10,135,15,3.255,124.81,3.6,6,4213108
New Brunswick ,2016,1675,910,1575,485,60,10,0,2305,2410,0,5,2450,1720,335,0,195,90,0,0,0,0,0,0,15,0,5,35,55,0,20,0,5,5,110,0,0,0,0,5,0,5,5,15,40,0,0,0,7,98.64,1.4,3.7,3051138
New Brunswick ,2017,1050,705,1500,335,60,10,0,1815,1845,5,5,2585,450,340,0,270,255,0,45,0,0,0,0,20,0,20,60,40,0,5,0,0,10,100,0,0,10,0,5,0,0,35,30,95,0,0,0,6.6,102.16,1.6,3.8,3064197
New Brunswick ,2018,1290,960,1930,370,50,10,0,2255,2350,15,20,2745,355,415,0,1040,320,0,50,0,0,0,5,75,0,30,85,180,5,20,0,0,5,220,0,15,0,0,35,0,0,40,45,85,0,0,0,4.6,103.22,2.3,4.3,33498940
New Brunswick ,2019,1725,1290,2430,475,80,5,0,2925,3080,10,20,2850,495,425,0,2195,410,5,40,10,0,0,10,175,0,30,60,335,0,60,0,5,5,335,0,20,10,0,45,0,0,25,40,90,5,5,0,4.3,103.15,1.9,4.2,33882723
New Brunswick ,2020,795,655,1135,265,30,5,0,1400,1490,20,10,1395,245,255,0,955,140,0,20,0,0,0,0,65,0,25,35,125,0,15,0,0,0,100,0,5,0,0,15,0,0,5,35,55,0,0,0,6.85,105.3,0.7,3.7,34191236
New Brunswick ,2021,1040,2010,1835,390,30,5,0,2460,2855,10,40,1815,350,415,415,2260,285,5,40,50,10,30,0,355,0,40,95,440,0,120,0,5,0,425,0,45,5,0,25,0,10,25,90,120,0,25,0,6.2,116.17,3.4,3.2,34282149
New Brunswick ,2022,2945,2705,3685,785,105,10,0,4975,5255,0,15,5335,1285,525,1035,1995,595,5,110,95,25,50,5,300,0,85,150,535,0,345,0,5,5,350,0,45,10,0,15,35,25,65,145,130,10,25,0,3.5,125.1,6.8,4.9,34644576
New Brunswick ,2023,2820,2780,3785,735,90,15,0,4955,5270,20,45,5995,1130,555,760,1690,545,0,90,135,20,65,20,205,0,85,215,495,0,390,0,5,10,530,0,80,15,0,30,55,25,45,130,150,25,50,5,4.238,124.81,3.6,6,3324981
Newfoundland and Labrador ,2016,335,310,430,90,30,0,0,620,580,0,10,455,335,195,0,200,10,0,0,0,50,0,0,5,0,5,0,55,0,35,0,0,0,0,580,5,0,0,0,5,0,0,0,0,0,0,0,0.55,98.64,1.4,3.7,32869479
Newfoundland and Labrador ,2017,260,335,450,110,25,5,0,575,610,0,10,435,280,200,0,260,25,0,0,0,40,0,0,5,0,5,5,50,0,45,0,0,0,5,560,10,0,0,10,10,0,0,10,0,0,0,0,0.5,102.16,1.6,3.8,33136925
Newfoundland and Labrador ,2018,350,445,590,115,25,0,0,730,795,0,20,605,275,195,0,430,40,0,0,0,30,0,0,0,0,15,15,130,0,45,0,0,0,10,675,5,0,0,10,0,0,0,15,0,0,0,0,1.2,103.22,2.3,4.3,57190748
Newfoundland and Labrador ,2019,410,535,705,145,60,5,0,885,970,5,10,570,385,250,0,620,25,0,0,0,30,20,0,10,0,30,10,180,0,25,0,5,0,5,860,15,0,0,10,0,5,5,20,0,0,5,0,1.475,103.15,1.9,4.2,58183890
Newfoundland and Labrador ,2020,175,255,365,65,30,5,0,440,455,0,10,360,110,140,0,270,20,0,0,0,30,0,0,5,0,10,10,70,0,10,0,5,0,5,400,10,0,0,10,0,0,0,5,0,0,0,0,1.875,105.3,0.7,3.7,58989922
Newfoundland and Labrador ,2021,430,705,770,115,25,0,0,940,1115,0,15,510,500,175,105,705,85,0,0,25,60,0,0,30,0,30,0,255,0,55,0,10,0,20,810,15,5,0,15,10,5,10,15,0,0,0,0,1.075,116.17,3.4,3.2,59365579
Newfoundland and Labrador ,2022,895,1080,1260,205,50,5,0,1685,1810,0,20,1335,855,225,235,800,85,0,0,35,155,0,0,40,0,20,5,370,0,160,0,0,0,15,0,10,5,0,20,15,15,0,30,5,0,0,0,1.425,125.1,6.8,4.9,60474619
Newfoundland and Labrador ,2023,1305,1445,1900,325,55,5,0,2470,2570,0,20,2635,985,255,220,885,170,0,0,40,310,5,0,45,0,20,15,505,0,220,0,0,0,40,0,40,0,0,20,65,20,0,35,0,0,5,0,1.3645,124.81,3.6,6,35404268
Nova Scotia ,2016,1635,1360,2085,335,70,20,0,2660,2850,15,35,2590,1420,655,0,780,535,15,25,0,25,0,5,0,0,15,145,130,10,140,0,0,0,5,0,25,0,0,10,0,0,10,30,80,5,20,0,6.65,98.64,1.4,3.7,5244675
Nova Scotia ,2017,1020,1275,1805,270,135,20,0,2180,2335,5,35,2735,445,710,0,575,495,15,5,10,10,5,0,5,0,35,160,130,0,190,0,0,5,35,0,20,0,0,20,0,5,10,60,115,5,10,0,4.2,102.16,1.6,3.8,5327541
Nova Scotia ,2018,1370,1785,2415,290,105,15,0,2890,3095,5,50,3470,610,720,0,1110,640,25,20,5,0,25,0,55,0,65,230,270,0,190,0,0,5,90,0,45,5,0,25,0,5,15,120,90,5,15,0,3,103.22,2.3,4.3,5401657
Nova Scotia ,2019,1860,2080,2955,535,135,30,0,3765,3830,20,45,3510,760,880,0,2345,550,20,40,10,0,5,15,80,0,110,315,410,0,170,0,0,10,160,0,220,15,0,35,0,5,30,75,80,15,5,0,2.5,103.15,1.9,4.2,5470320
Nova Scotia ,2020,755,1035,1405,235,80,15,0,1705,1810,20,30,1590,290,490,0,1080,230,10,25,0,0,5,5,40,0,50,100,235,0,95,0,0,0,75,0,110,5,0,15,0,0,5,75,40,5,0,0,2.7,105.3,0.7,3.7,5518504
Nova Scotia ,2021,1370,4285,2805,560,105,25,0,4155,5000,10,65,2280,685,730,920,4395,675,20,40,30,30,115,20,535,0,70,135,1280,0,475,0,5,10,400,0,185,10,0,65,10,40,30,240,180,15,65,0,1.7,116.17,3.4,3.2,5560849
Nova Scotia ,2022,2735,4635,4200,885,175,30,0,5895,6770,20,35,5635,1335,1075,1375,3150,615,15,105,40,40,110,5,300,0,75,325,1505,0,550,0,0,10,450,0,225,25,0,50,45,40,50,315,115,15,50,0,1.5,125.1,6.8,4.9,5642865
Nova Scotia ,2023,1985,3975,3525,740,225,40,0,4960,5535,30,70,5140,1310,1075,925,1865,615,10,45,45,65,85,5,420,0,75,205,735,0,495,0,15,0,520,0,105,20,0,60,65,35,30,230,95,10,35,0,1.829,124.81,3.6,6,5796891
Ontario ,2016,23185,31860,36955,9445,6900,1535,0,56745,53135,515,8240,3910,19565,35145,0,40695,5970,515,1840,285,20,435,185,20,15,845,2105,470,80,1205,10,160,160,140,0,280,320,10,195,0,25,265,400,615,390,775,65,2.37,98.64,1.4,3.7,16756766
Ontario ,2017,17210,37515,37380,9685,8190,2025,0,57225,54770,310,9510,6985,10430,36745,0,46050,5160,565,1880,425,0,650,155,15,15,1100,2540,865,65,1190,25,220,85,225,0,330,560,0,345,5,15,460,1015,930,355,1310,65,1.98,102.16,1.6,3.8,16931279
Ontario ,2018,23005,45360,51070,9280,7120,1600,0,69500,67935,310,11830,11375,11855,37850,0,61985,7250,715,3420,665,5,1025,200,15,25,1760,3210,970,125,1495,45,345,90,190,0,300,935,0,300,5,35,760,1290,1230,425,1330,80,2.2,103.22,2.3,4.3,4621754
Ontario ,2019,25030,51675,56860,10095,7840,1850,0,77455,75890,635,13310,12340,12205,42565,0,69165,8760,840,3890,1220,20,1405,210,20,25,2305,2710,1575,125,1720,45,515,110,335,0,355,1165,10,350,25,20,885,1630,1285,450,1625,100,2.3,103.15,1.9,4.2,4654810
Ontario ,2020,12120,28955,30705,5990,4345,830,0,41675,41265,260,11345,6750,3720,22230,0,36385,5395,475,1850,625,0,710,140,0,20,1180,2840,1275,60,860,15,240,60,220,0,240,590,0,290,0,5,535,1090,805,295,1160,35,2.6,105.3,0.7,3.7,4671813
Ontario ,2021,25910,90240,63495,12705,5775,1145,0,95900,103360,230,27375,11030,9070,36680,12935,94610,6190,1260,2595,855,245,4860,450,820,75,1420,2940,1675,70,2220,25,295,105,1925,0,1455,700,0,95,470,175,1205,1375,825,515,5145,80,2.2,116.17,3.4,3.2,4670671
Ontario ,2022,30015,62095,64795,14640,11240,2200,0,93470,91515,640,19110,19220,19960,46725,21795,51700,8215,775,2390,950,440,2355,260,1570,30,1815,3380,1960,105,2420,30,530,105,2065,0,740,1010,0,535,1135,370,1005,2095,1360,445,1655,80,1.6,125.1,6.8,4.9,4710426
Ontario ,2023,28875,71420,63750,14700,10420,2405,0,96940,94620,1240,15815,20465,20110,52265,18625,54705,7070,830,3105,920,390,4440,425,665,45,1645,1515,1430,110,2180,20,370,80,2840,0,610,820,0,480,985,450,910,1785,1285,805,1660,90,1.816,124.81,3.6,6,18695371
Quebec ,2016,12615,13690,20125,4865,1615,325,0,27035,26200,4635,2280,0,7140,11125,0,26970,4310,465,580,75,20,240,15,205,10,615,1580,350,0,525,10,220,35,130,0,150,515,30,30,10,120,160,260,290,110,405,20,5.4,98.64,1.4,3.7,153054
Quebec ,2017,11530,13430,20060,4825,2120,405,0,26335,26040,4590,2820,0,6310,12135,0,25675,3540,450,835,45,30,265,30,145,5,550,1355,325,10,485,5,165,45,160,0,110,370,10,40,5,135,200,260,320,195,345,20,4.2,102.16,1.6,3.8,157147
Quebec ,2018,11410,12945,19745,4865,1810,340,0,25845,25270,4205,3150,0,5685,12285,0,24985,3510,360,690,40,25,235,20,135,10,560,1100,240,20,415,0,145,30,90,0,115,330,10,40,5,105,170,280,295,180,335,25,2.7,103.22,2.3,4.3,17144396
Quebec ,2019,9915,8980,15200,4150,1945,365,0,20580,19975,3385,2435,0,4815,9680,0,19740,2380,260,1440,25,0,150,15,90,5,555,860,180,15,350,5,95,15,80,0,85,230,15,30,10,85,150,195,185,160,330,30,2,103.15,1.9,4.2,17394060
Quebec ,2020,5220,6150,10375,2410,940,145,0,12865,12370,1105,2455,0,1740,7790,0,11665,1320,210,560,5,0,70,10,55,0,255,460,130,0,615,0,50,15,45,0,40,105,0,20,0,35,85,125,125,65,195,10,2.6,105.3,0.7,3.7,17617921
Quebec ,2021,7870,14930,20705,4595,1875,290,0,25290,24975,1685,5685,0,1600,13895,0,25165,2865,535,755,55,70,280,15,230,0,260,610,440,5,745,10,85,20,300,0,195,135,0,65,40,135,145,250,185,80,335,15,2.1,116.17,3.4,3.2,17725928
Quebec ,2022,14015,17795,26060,7830,2540,465,0,34260,34445,5200,4050,0,3745,12905,0,40345,3850,610,520,60,130,675,25,350,10,480,935,570,15,1515,10,125,15,680,0,235,255,5,60,90,215,205,275,280,140,515,25,1.4,125.1,6.8,4.9,18018734
Quebec ,2023,11505,12065,18245,5845,2070,460,0,25150,25040,5860,2560,0,2495,9680,0,28720,1985,370,295,15,45,365,25,120,0,250,500,295,10,715,5,60,15,270,0,135,145,0,30,25,100,105,150,170,75,300,0,1.741,124.81,3.6,6,179105
Saskatchewan ,2016,4090,3740,5630,1185,205,20,0,7575,7305,0,75,9900,1845,1960,0,1070,490,10,65,15,520,545,30,80,0,220,55,580,0,130,0,5,5,370,0,35,75,0,50,0,10,30,135,125,0,160,10,7.9,98.64,1.4,3.7,178205
Saskatchewan ,2017,3750,3370,5970,1250,305,40,0,7295,7390,0,80,10525,940,2000,0,1115,890,0,125,20,235,295,45,55,0,180,25,790,5,75,0,15,5,245,0,60,80,0,50,0,0,35,165,105,0,285,15,8.3,102.16,1.6,3.8,178578
Saskatchewan ,2018,3845,3830,6245,1190,345,45,0,7600,7905,10,70,11105,1010,1985,0,1295,1060,5,195,25,170,205,80,45,0,80,175,1180,20,130,5,35,25,205,0,75,30,0,55,0,0,35,195,60,0,390,25,8,103.22,2.3,4.3,20039538
Saskatchewan ,2019,4065,3840,6155,1160,575,75,0,7920,7950,10,60,10960,1170,2430,0,1185,755,10,190,35,55,180,65,40,5,100,330,1205,45,120,0,30,160,270,0,125,30,0,75,0,5,35,215,25,5,460,40,6.75,103.15,1.9,4.2,20400716
Saskatchewan ,2020,1935,1655,2975,555,270,35,0,3680,3745,0,50,5355,380,1135,0,480,460,0,95,5,5,75,5,10,0,35,155,435,15,65,0,10,65,105,0,90,5,0,20,0,0,25,120,10,0,230,30,6.65,105.3,0.7,3.7,20676585
Saskatchewan ,2021,2230,3650,3950,765,320,30,0,5225,5725,0,85,6505,935,1655,415,1315,730,5,65,50,30,150,10,55,5,90,75,1340,10,125,0,15,15,210,0,155,20,0,75,25,30,50,275,45,5,175,25,5.8,116.17,3.4,3.2,20874257
Saskatchewan ,2022,6280,4430,8295,1870,710,85,0,10710,10965,0,75,15995,1910,2170,760,730,1485,0,430,60,50,190,80,70,15,210,265,1300,35,135,0,30,60,285,0,205,110,0,100,60,40,105,340,85,50,255,85,3.2,125.1,6.8,4.9,21356454
Saskatchewan ,2023,6195,5860,8635,1975,600,75,0,11345,11995,10,85,18345,1320,2110,785,630,1395,10,230,75,225,255,190,105,40,115,220,840,20,150,0,20,70,425,0,170,90,0,155,175,75,220,560,195,70,280,35,4.355,124.81,3.6,6,178925
